Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2020-05-15,2020,5,15,Friday,19,2020-19,282.37,286.33,281.34,286.28,111146300,275.77,0.00459690992046502,276.49071428571426,260.43660000000006
2020-05-18,2020,5,18,Monday,20,2020-20,293.05,296.75,292.7,295.0,119703800,284.17,0.0304599457114203,277.12857142857143,260.42260000000005
2020-05-19,2020,5,19,Tuesday,20,2020-20,294.35,296.21,291.95,291.97,95189300,281.25,-0.010271296288838605,277.04285714285714,260.79519999999997
2020-05-20,2020,5,20,Wednesday,20,2020-20,295.82,297.87,295.57,296.93,85861700,286.03,0.016988039775042152,277.4864285714285,260.9916
2020-05-21,2020,5,21,Thursday,20,2020-20,296.79,297.67,293.69,294.88,78293900,284.06,-0.006904204180334439,278.31857142857143,261.4178
2020-05-22,2020,5,22,Friday,20,2020-20,294.57,295.63,293.22,295.44,63958200,284.6,0.0018993371711855112,279.1357142857143,262.3576
2020-05-26,2020,5,26,Tuesday,21,2020-21,301.93,302.19,295.46,299.08,88951400,288.1,0.012320518122947322,280.02214285714285,262.96119999999996
2020-05-27,2020,5,27,Wednesday,21,2020-21,302.12,303.57,296.87,303.53,104817400,292.39,0.014878990229393096,281.3485714285714,264.215
2020-05-28,2020,5,28,Thursday,21,2020-21,304.65,306.84,302.24,302.97,90405200,291.85,-0.0018447919878309404,282.4007142857143,265.21
2020-05-29,2020,5,29,Friday,21,2020-21,302.46,304.96,299.47,304.32,119090800,293.15,0.004455655763340616,283.2178571428571,266.4762
2020-06-01,2020,6,1,Monday,22,2020-22,303.62,306.21,303.06,305.55,55758300,294.34,0.0040417607315124116,284.11642857142857,267.7564
2020-06-02,2020,6,2,Tuesday,22,2020-22,306.55,308.13,305.1,308.08,74267200,296.77,0.008280120649631684,285.5892857142857,269.2838
2020-06-03,2020,6,3,Wednesday,22,2020-22,310.24,313.22,309.94,312.18,92567600,300.72,0.013308452224538359,287.69357142857143,271.0028
2020-06-04,2020,6,4,Thursday,22,2020-22,311.11,313.0,309.08,311.36,75794400,299.93,-0.0026269356601695826,289.50928571428574,272.3168
2020-06-05,2020,6,5,Friday,22,2020-22,317.23,321.27,317.16,319.34,150524700,307.62,0.02562956461628052,291.7842857142857,273.7146
2020-06-08,2020,6,8,Monday,23,2020-23,320.22,323.41,319.63,323.2,73641200,311.34,0.012087511667822293,293.72499999999997,274.9092
2020-06-09,2020,6,9,Tuesday,23,2020-23,320.3,323.28,319.36,320.79,77479200,309.02,-0.007456540516506904,295.7085714285714,276.2072
2020-06-10,2020,6,10,Wednesday,23,2020-23,321.42,322.39,318.22,319.0,95000800,307.29,-0.005579978757328408,297.2271428571429,277.312
2020-06-11,2020,6,11,Thursday,23,2020-23,311.46,312.15,300.01,300.61,209243600,289.58,-0.057649044232577995,297.62142857142857,278.13779999999997
2020-06-12,2020,6,12,Friday,23,2020-23,308.24,309.08,298.6,304.21,194678900,293.04,0.011975839023780965,298.2242857142857,279.25620000000004
2020-06-15,2020,6,15,Monday,24,2020-24,298.02,308.28,296.74,307.05,135782700,295.78,0.00933549332819017,298.7728571428571,280.32
2020-06-16,2020,6,16,Tuesday,24,2020-24,315.48,315.64,307.67,312.96,137627500,301.47,0.019247769531917314,299.42142857142863,281.56780000000003
2020-06-17,2020,6,17,Wednesday,24,2020-24,314.07,314.39,310.86,311.66,83398900,300.22,-0.004153992918897731,300.0192857142857,282.4694
2020-06-18,2020,6,18,Thursday,24,2020-24,310.01,312.3,309.51,311.78,80828700,300.34,0.00038505122970389216,300.53285714285715,283.3682
2020-06-19,2020,6,19,Friday,24,2020-24,314.17,314.38,306.53,308.64,135549600,298.62,-0.005714915703392998,300.8385714285714,284.0612
